종목코드,기준일,지표,값
000850,2023-07-21,PBR,0.2397
000850,2023-07-21,PCR,2.6667
000850,2023-07-21,PER,1.9701
000850,2023-07-21,PSR,0.3162
000860,2023-07-21,PBR,0.222
000860,2023-07-21,PCR,3.7563
000860,2023-07-21,PER,19.9333
000860,2023-07-21,PSR,0.227
000880,2023-07-21,PBR,0.1099
000880,2023-07-21,PCR,0.348
000880,2023-07-21,PER,0.8678
000880,2023-07-21,PSR,0.0358
000890,2023-07-21,PBR,0.9305
000890,2023-07-21,PCR,78.0464
000890,2023-07-21,PER,-27.8737
000890,2023-07-21,PSR,0.8428
000910,2023-07-21,PBR,0.5152
000910,2023-07-21,PCR,-9.5543
000910,2023-07-21,PER,-63.6954
000910,2023-07-21,PSR,0.4101
000950,2023-07-21,PBR,0.2561
000950,2023-07-21,PCR,-0.5785
000950,2023-07-21,PER,0.7853
000950,2023-07-21,PSR,0.4008
000970,2023-07-21,PBR,0.4532
000970,2023-07-21,PCR,10.7488
000970,2023-07-21,PER,13.1672
000970,2023-07-21,PSR,0.3408
000990,2023-07-21,PBR,1.6965
000990,2023-07-21,PCR,4.1154
000990,2023-07-21,PER,5.5906
000990,2023-07-21,PSR,1.6877
001000,2023-07-21,PBR,2.9688
001000,2023-07-21,PCR,56.8701
001000,2023-07-21,PER,-227.4805
001000,2023-07-21,PSR,10.34
001020,2023-07-21,PBR,0.6764
001020,2023-07-21,PCR,9.6832
001020,2023-07-21,PER,19.3665
001020,2023-07-21,PSR,0.0988
001040,2023-07-21,PBR,0.1078
001040,2023-07-21,PCR,0.3971
001040,2023-07-21,PER,3.9187
001040,2023-07-21,PSR,0.0464
001060,2023-07-21,PBR,4.1781
001060,2023-07-21,PCR,17.4279
001060,2023-07-21,PER,24.8761
001060,2023-07-21,PSR,1.2697
001070,2023-07-21,PBR,0.4587
001070,2023-07-21,PCR,3.4524
001070,2023-07-21,PER,-10.6548
001070,2023-07-21,PSR,0.3478
001080,2023-07-21,PBR,0.6247
001080,2023-07-21,PCR,-15.3507
001080,2023-07-21,PER,21.491
001080,2023-07-21,PSR,0.6468
001120,2023-07-21,PBR,0.4564
001120,2023-07-21,PCR,0.9345
001120,2023-07-21,PER,1.9366
001120,2023-07-21,PSR,0.0787
001130,2023-07-21,PBR,0.2481
001130,2023-07-21,PCR,-7.4707
001130,2023-07-21,PER,4.9695
001130,2023-07-21,PSR,0.1591
001140,2023-07-21,PBR,1.7358
001140,2023-07-21,PCR,-7.687
001140,2023-07-21,PER,-2.5711
001140,2023-07-21,PSR,0.7609
001200,2023-07-21,PBR,0.4081
001200,2023-07-21,PCR,-5.9453
001200,2023-07-21,PER,13.276
001210,2023-07-21,PBR,2.2554
001210,2023-07-21,PCR,-7.4981
001210,2023-07-21,PER,-2.7319
001210,2023-07-21,PSR,0.7034
